Brand,Generation(G),Color,Ratings,RAM(GB),ROM(GB),Display(inch),Camera(MP),Battery(mAh),Reviews,Discount(%off),Price(rupees)
Infinix,5,Miami Orange,5.0,4,128,6.78,50,6000,,20.0,12499.0
REDMI,5,Starlight Black,4.2,6,128,6.74,50,5000,363.0,22.0,12378.0
itel,,,4.0,,32,1.8,0,1000,3067.0,37.0,899.0
OPPO,5,Rock Grey,4.1,8,256,6.7,50,5000,37343.0,21.0,31999.0
OPPO,5,Pearl White,4.0,12,256,6.7,50,4600,24900.0,11.0,39999.0
POCO,,Power Black,4.0,4,64,6.58,50,5000,19788.0,50.0,7999.0
Kechaoda,,,4.2,,32,2.4,3,3600,33744.0,12.0,1580.0
Kechaoda,,,4.2,,16,0.66,,800,33744.0,31.0,965.0
Infinix,,Jade White,4.2,2,64,6.6,8,5000,13205.0,25.0,5999.0
Infinix,,Green Apple,4.2,2,64,6.6,8,5000,370.0,25.0,5999.0
SAMSUNG,5,Berry Blue,4.2,6,128,6.6,50,6000,33744.0,29.0,13462.0
REDMI,5,Startrail Silver,4.2,4,128,6.74,50,5000,33744.0,17.0,11508.0
Infinix,,Silk Blue,4.3,2,64,6.6,8,5000,701.0,25.0,5999.0
Infinix,,Ink Black,4.1,2,64,6.6,8,5000,88805.0,25.0,5999.0
REDMI,5,Fusion Black,3.6,8,256,6.67,200,5000,342.0,5.0,31999.0
Nokia,,,4.4,,,1.77,0,800,83111.0,20.0,1278.0
Jio,,UPI,4.3,,,2.4,3,2000,2352.0,45.0,1409.0
realme,5,Oasis Green,4.4,8,256,6.7,100,5000,83111.0,10.0,24999.0
Infinix,5,Fantasy Purple,4.4,8,256,6.78,108,5000,83111.0,17.0,22999.0
realme,5,Astral Black,4.2,8,256,6.7,100,5000,5617.0,10.0,24999.0
realme,5,Sunrise Beige,4.3,8,256,6.7,100,5000,26641.0,10.0,24999.0
SAMSUNG,5,Mystic Green,4.1,8,128,6.5,50,6000,104496.0,30.0,17999.0
POCO,5,Yellow,4.5,6,128,6.67,108,5000,3563.0,11.0,22999.0
MOTOROLA,,Rose Gold,4.2,8,128,6.5,50,5000,,47.0,9999.0
SAMSUNG,5,Green,5.0,8,128,6.1,50,3900,,27.0,64999.0
OnePlus,5,Sonic Black,4.5,16,256,6.7,50,5000,9388.0,9.0,44969.0
Google,,Obsidian,4.3,8,128,6.2,50,4575,1171.0,30.0,75999.0
REDMI,5,Arctic White,4.4,8,256,6.67,200,5100,442.0,21.0,27999.0
Kechaoda,,,4.0,,16,0.66,,800,19788.0,11.0,975.0
OPPO,5,Rock Grey,4.2,8,256,6.7,50,5000,426.0,25.0,31999.0
OPPO,5,Pearl White,4.5,12,256,6.7,50,4600,10698.0,29.0,39999.0
POCO,,Matte Black,4.5,8,256,6.74,50,5000,10698.0,23.0,9999.0
OnePlus,5,Galactic Silver,4.5,8,128,6.7,50,5000,10698.0,36.0,39975.0
OnePlus,5,Sonic Black,4.5,8,128,6.7,50,5000,10698.0,23.0,39809.0
OnePlus,5,Sonic Black,4.1,8,128,6.7,50,5000,199.0,30.0,39998.0
OnePlus,5,Sonic Black,4.5,8,128,6.7,50,5000,1120.0,2.0,39999.0
REDMI,,Stardust Black,4.1,6,128,6.74,50,5000,28398.0,23.0,9858.0
realme,5,Dark Purple,4.5,4,128,6.72,50,5000,1120.0,22.0,12999.0
REDMI,,Lunar Black,4.0,6,64,6.67,50,5000,4316.0,23.0,11999.0
realme,5,Sunny Oasis,4.4,4,128,6.72,50,5000,1938.0,54.0,12999.0
Micromax,,,4.4,,,1.77,3,800,557.0,43.0,844.0
vivo,5,Red,4.1,12,256,6.78,50,4600,1036.0,44.0,36999.0
SAMSUNG,,Mint,4.1,8,256,6.7,12,3700,13098.0,29.0,99999.0
Nokia,,,4.1,,,6.7,,1000,1036.0,54.0,1299.0
REDMI,5,Sunrise Gold,4.3,6,128,6.67,48,5000,124699.0,2.0,16999.0
Nokia,,,4.0,,,6.7,,1000,4316.0,36.0,1299.0
Samsung,5,Graphite,3.9,8,128,6.4,12,4500,7059.0,,31999.0
Micromax,,,4.4,,,1.77,3,800,,,844.0
itel,,,5.0,,,2.4,3,2500,,,1779.0
OPPO,5,Rock Grey,4.2,8,256,6.7,50,5000,204.0,21.0,31999.0
OPPO,5,Pearl White,4.2,12,256,6.7,50,4600,22527.0,11.0,39999.0
itel,,Starry Black,4.3,4,128,6.6,50,5000,17787.0,26.0,6960.0
Infinix,5,Knight Black,4.2,8,128,6.78,50,6000,4248.0,23.0,12999.0
REDMI,,Peppy Purple,4.1,6,128,6.58,50,5000,33722.0,39.0,10249.0
Infinix,5,Aurora Blue,4.2,4,128,6.78,50,6000,5291.0,16.0,12499.0
Kechaoda,,,4.0,,,1.44,3,850,24900.0,26.0,1099.0
